Id,Time[ns],0:I²C: Address/Data
1,10000108.00,Start
2,10010228.00,Address write: 40
3,10080222.00,Write
4,10090222.00,ACK
5,10102970.00,Data write: 00
6,10182970.00,ACK
7,10203180.00,Start repeat
8,10213274.00,Address read: 41
9,10283268.00,Read
10,10293268.00,ACK
11,10305766.00,Data read: 00
12,10385766.00,NACK
13,10405692.00,Stop
14,11253088.00,Start
15,11263208.00,Address write: 40
16,11333202.00,Write
17,11343204.00,ACK
18,11356050.00,Data write: 20
19,11436050.00,ACK
20,11448724.00,Data write: 6D
21,11528726.00,ACK
22,11541422.00,Data write: AC
23,11621424.00,ACK
24,11634048.00,Data write: 01
25,11714048.00,ACK
26,11726646.00,Data write: 24
27,11806646.00,ACK
28,11819244.00,Data write: 00
29,11899246.00,ACK
30,11911844.00,Data write: 00
31,11991844.00,ACK
32,12004542.00,Data write: 04
33,12084542.00,ACK
34,12097140.00,Data write: 00
35,12177138.00,ACK
36,12189840.00,Data write: 78
37,12269840.00,ACK
38,12282438.00,Data write: 0A
39,12362438.00,ACK
40,12375036.00,Data write: 00
41,12455036.00,ACK
42,12467736.00,Data write: 00
43,12547736.00,ACK
44,12560332.00,Data write: D7
45,12640334.00,ACK
46,12652930.00,Data write: D9
47,12732932.00,ACK
48,12752656.00,Stop
49,13805952.00,Start
50,13816072.00,Address write: 40
51,13886068.00,Write
52,13896066.00,ACK
53,13908764.00,Data write: 02
54,13988766.00,ACK
55,14001460.00,Data write: A5
56,14081464.00,ACK
57,14101138.00,Stop
58,14860438.00,Start
59,14870556.00,Address write: 40
60,14940552.00,Write
61,16784424.00,ACK
62,16792470.00,Data write: FF
63,218188472.00,ACK
64,218198468.00,Data write: 80
65,218281240.00,ACK
66,218291242.00,Data write: 00
67,218374136.00,NACK
68,218381450.00,Start repeat
69,218391544.00,Address read: 41
70,218461538.00,Read
71,218471538.00,ACK
72,218484036.00,Data read: 03
73,218564038.00,NACK
74,218583964.00,Stop
75,219526784.00,Start
76,219536902.00,Address write: 40
77,219606898.00,Write
78,219616898.00,ACK
79,219629720.00,Data write: 06
80,219709722.00,ACK
81,219729930.00,Start repeat
82,219740024.00,Address read: 41
83,219810018.00,Read
84,219820020.00,ACK
85,219832642.00,Data read: 0B
86,219912646.00,ACK
87,219925290.00,Data read: 00
88,220005290.00,NACK
89,220025166.00,Stop
90,220781766.00,Start
91,220791884.00,Address write: 40
92,220861882.00,Write
93,220871880.00,ACK
94,220884602.00,Data write: 20
95,220964604.00,ACK
96,220984812.00,Start repeat
97,220994906.00,Address read: 41
98,221064902.00,Read
99,221074902.00,ACK
100,221087398.00,Data read: 6D
101,221167402.00,ACK
102,221180120.00,Data read: AC
103,221260126.00,ACK
104,221272820.00,Data read: 01
105,221352824.00,ACK
106,221365494.00,Data read: 24
107,221445498.00,ACK
108,221458218.00,Data read: 00
109,221538220.00,ACK
110,221550892.00,Data read: 00
111,221630894.00,ACK
112,221643566.00,Data read: 01
113,221723568.00,ACK
114,221736290.00,Data read: 00
115,221816292.00,ACK
116,221831186.00,Data read: 00
117,221911190.00,ACK
118,221923912.00,Data read: 47
119,222003914.00,ACK
120,222016586.00,Data read: 07
121,222096588.00,NACK
122,222116488.00,Stop
123,223116282.00,Start
124,223126402.00,Address write: 40
125,223196398.00,Write
126,223206396.00,ACK
127,223219194.00,Data write: 02
128,223299194.00,ACK
129,223311892.00,Data write: 5A
130,223391894.00,ACK
131,223411566.00,Stop
