Id,Time[ns],0:I²C: Address/Data
1,143165450.00,Start
2,143168086.00,Address write: 40
3,143185570.00,Write
4,143188518.00,ACK
5,143193814.00,Data write: 00
6,143215464.00,ACK
7,143222400.00,Start repeat
8,143224996.00,Address read: 41
9,143242490.00,Read
10,143245976.00,ACK
11,143250812.00,Data read: 00
12,143270814.00,NACK
13,143277722.00,Stop
14,144365082.00,Start
15,144367718.00,Address write: 40
16,144385202.00,Write
17,144388146.00,ACK
18,144393448.00,Data write: 20
19,144415588.00,ACK
20,144420696.00,Data write: 6D
21,144443202.00,ACK
22,144448266.00,Data write: AC
23,144470772.00,ACK
24,144475894.00,Data write: 01
25,144498386.00,ACK
26,144503394.00,Data write: 20
27,144525896.00,ACK
28,144530944.00,Data write: 00
29,144553426.00,ACK
30,144558444.00,Data write: 00
31,144580960.00,ACK
32,144585992.00,Data write: 00
33,144608514.00,ACK
34,144613492.00,Data write: 00
35,144635988.00,ACK
36,144641042.00,Data write: 38
37,144663578.00,ACK
38,144668588.00,Data write: 84
39,144691088.00,ACK
40,144697572.00,Stop
41,145373168.00,Start
42,145375802.00,Address write: 40
43,145393286.00,Write
44,145396234.00,ACK
45,145401482.00,Data write: 02
46,145423118.00,ACK
47,145428252.00,Data write: A5
48,145450148.00,ACK
49,145456660.00,Stop
50,146212406.00,Start
51,146215038.00,Address write: 40
52,146232526.00,Write
53,146235446.00,ACK
54,146240670.00,Data write: 00
55,146262326.00,ACK
56,146269330.00,Start repeat
57,146271928.00,Address read: 41
58,146289422.00,Read
59,146292900.00,ACK
60,146297768.00,Data read: 03
61,146317772.00,NACK
62,146324658.00,Stop
63,146980646.00,Start
64,146983280.00,Address write: 40
65,147000764.00,Write
66,147003716.00,ACK
67,147008960.00,Data write: 06
68,147030616.00,ACK
69,147037644.00,Start repeat
70,147040242.00,Address read: 41
71,147057736.00,Read
72,147061452.00,ACK
73,147066332.00,Data read: 0E
74,147086338.00,ACK
75,147091608.00,Data read: 00
76,147111610.00,NACK
77,147118342.00,Stop
78,148002630.00,Start
79,148005266.00,Address write: 40
80,148022750.00,Write
81,148025676.00,ACK
82,148030944.00,Data write: 20
83,148053056.00,ACK
84,148060030.00,Start repeat
85,148062626.00,Address read: 41
86,148080122.00,Read
87,148084478.00,ACK
88,148089442.00,Data read: 6D
89,148109450.00,ACK
90,148114716.00,Data read: AC
91,148134724.00,ACK
92,148139894.00,Data read: 01
93,148159898.00,ACK
94,148165044.00,Data read: 20
95,148185046.00,ACK
96,148190192.00,Data read: 00
97,148210196.00,ACK
98,148215342.00,Data read: 00
99,148235346.00,ACK
100,148240492.00,Data read: 04
101,148260496.00,ACK
102,148265642.00,Data read: 00
103,148285644.00,ACK
104,148290792.00,Data read: 00
105,148310796.00,ACK
106,148315940.00,Data read: 01
107,148335946.00,ACK
108,148341090.00,Data read: 00
109,148361094.00,ACK
110,148366240.00,Data read: 02
111,148386244.00,ACK
112,148391390.00,Data read: 1B
113,148411396.00,ACK
114,148416540.00,Data read: 53
115,148436542.00,NACK
116,148443252.00,Stop
117,149507984.00,Start
118,149510618.00,Address write: 40
119,149528104.00,Write
120,149531040.00,ACK
121,149536324.00,Data write: 02
122,149557966.00,ACK
123,149563096.00,Data write: 5A
124,149584786.00,ACK
125,149591278.00,Stop
126,597304110.00,Start
127,597306746.00,Address write: 40
128,597324230.00,Write
129,597327152.00,ACK
130,597332424.00,Data write: 00
131,597354054.00,ACK
132,597361010.00,Start repeat
133,597363608.00,Address read: 41
134,597381100.00,Read
135,597384598.00,ACK
136,597389522.00,Data read: 00
137,597409526.00,NACK
138,597416332.00,Stop
139,598217498.00,Start
140,598220132.00,Address write: 40
141,598237618.00,Write
142,598240560.00,ACK
143,598245862.00,Data write: 20
144,598268000.00,ACK
145,598273110.00,Data write: 6D
146,598295612.00,ACK
147,598300680.00,Data write: AC
148,598323166.00,ACK
149,598328310.00,Data write: 01
150,598350822.00,ACK
151,598355858.00,Data write: 24
152,598378372.00,ACK
153,598383484.00,Data write: 00
154,598405986.00,ACK
155,598410982.00,Data write: 00
156,598433494.00,ACK
