Id,Time[ns],0:I²C: Address/Data
1,143165460.00,Start
2,143175580.00,Address write: 40
3,143245574.00,Write
4,143255574.00,ACK
5,143268346.00,Data write: 00
6,143348348.00,ACK
7,143368506.00,Start repeat
8,143378600.00,Address read: 41
9,143448594.00,Read
10,143458596.00,ACK
11,143471118.00,Data read: 00
12,143551118.00,NACK
13,143570944.00,Stop
14,246994068.00,Start
15,247004188.00,Address write: 40
16,247074182.00,Write
17,247084182.00,ACK
18,247096930.00,Data write: 20
19,247176928.00,ACK
20,247189554.00,Data write: 6D
21,247269554.00,ACK
22,247282200.00,Data write: AC
23,247362202.00,ACK
24,247374800.00,Data write: 01
25,247454800.00,ACK
26,247467450.00,Data write: 20
27,247547450.00,ACK
28,247560048.00,Data write: 00
29,247640048.00,ACK
30,247652696.00,Data write: 00
31,247732698.00,ACK
32,247745296.00,Data write: 00
33,247825296.00,ACK
34,247837944.00,Data write: 00
35,247917946.00,ACK
36,247930542.00,Data write: 38
37,248010544.00,ACK
38,248023188.00,Data write: 84
39,248103192.00,ACK
40,248122840.00,Stop
41,351866386.00,Start
42,351876506.00,Address write: 40
43,351946500.00,Write
44,351956500.00,ACK
45,351969222.00,Data write: 02
46,352049224.00,ACK
47,352061844.00,Data write: A5
48,352141846.00,ACK
49,352161546.00,Stop
50,455888392.00,Start
51,455898510.00,Address write: 40
52,455968506.00,Write
53,455978506.00,ACK
54,455991228.00,Data write: 00
55,456071230.00,ACK
56,456091364.00,Start repeat
57,456101458.00,Address read: 41
58,456171452.00,Read
59,456181452.00,ACK
60,456193950.00,Data read: 03
61,456273952.00,NACK
62,456293776.00,Stop
63,559862598.00,Start
64,559872716.00,Address write: 40
65,559942712.00,Write
66,559952712.00,ACK
67,559965458.00,Data write: 06
68,560045460.00,ACK
69,560065570.00,Start repeat
70,560075662.00,Address read: 41
71,560145656.00,Read
72,560155658.00,ACK
73,560168156.00,Data read: 0E
74,560248158.00,ACK
75,560260904.00,Data read: 00
76,560340904.00,NACK
77,560360780.00,Stop
78,663901202.00,Start
79,663911322.00,Address write: 40
80,663981316.00,Write
81,663991316.00,ACK
82,664004064.00,Data write: 20
83,664084064.00,ACK
84,664104174.00,Start repeat
85,664114268.00,Address read: 41
86,664184262.00,Read
87,664194264.00,ACK
88,664206760.00,Data read: 6D
89,664286764.00,ACK
90,664299408.00,Data read: AC
91,664379412.00,ACK
92,664392108.00,Data read: 01
93,664472110.00,ACK
94,664484730.00,Data read: 20
95,664564734.00,ACK
96,664577430.00,Data read: 00
97,664657432.00,ACK
98,664670054.00,Data read: 00
99,664750056.00,ACK
100,664764850.00,Data read: 04
101,664844854.00,ACK
102,664857450.00,Data read: 00
103,664937454.00,ACK
104,664950150.00,Data read: 00
105,665030152.00,ACK
106,665042748.00,Data read: 01
107,665122752.00,ACK
108,665135446.00,Data read: 00
109,665215450.00,ACK
110,665228046.00,Data read: 02
111,665308048.00,ACK
112,665320744.00,Data read: 1B
113,665400748.00,ACK
114,665413342.00,Data read: 53
115,665493344.00,NACK
116,665513220.00,Stop
117,768890894.00,Start
118,768901012.00,Address write: 40
119,768971008.00,Write
120,768981008.00,ACK
121,768993754.00,Data write: 02
122,769073756.00,ACK
123,769086354.00,Data write: 5A
124,769166356.00,ACK
125,769186052.00,Stop
126,1407363916.00,Start
127,1407374036.00,Address write: 40
128,1407444032.00,Write
129,1407454032.00,ACK
130,1407466754.00,Data write: 00
131,1407546754.00,ACK
132,1407566890.00,Start repeat
133,1407576982.00,Address read: 41
134,1407646976.00,Read
135,1407656978.00,ACK
136,1407669476.00,Data read: 00
137,1407749476.00,NACK
138,1407769302.00,Stop
139,1511043626.00,Start
140,1511053746.00,Address write: 40
141,1511123742.00,Write
142,1511133740.00,ACK
143,1511146488.00,Data write: 20
144,1511226488.00,ACK
145,1511239086.00,Data write: 6D
146,1511319086.00,ACK
147,1511331734.00,Data write: AC
148,1511411736.00,ACK
149,1511424334.00,Data write: 01
150,1511504334.00,ACK
151,1511516982.00,Data write: 24
152,1511596984.00,ACK
153,1511609580.00,Data write: 00
154,1511689582.00,ACK
155,1511702230.00,Data write: 00
156,1511782232.00,ACK
157,1511794854.00,Data write: 04
158,1511874854.00,ACK
159,1511887478.00,Data write: 00
160,1511967480.00,ACK
161,1511980076.00,Data write: 78
162,1512060078.00,ACK
163,1512072724.00,Data write: 0A
164,1512152726.00,ACK
165,1512165324.00,Data write: 00
166,1512245324.00,ACK
